"group","reference","band","band_label","break_year","category_label","n_cells"
"necr","water_core",2,"0-10",2018,"break_endpoint",5149
"necr","water_core",2,"0-10",2019,"break_sustained",238
"necr","water_core",2,"0-10",2020,"break_sustained",139
"necr","water_core",2,"0-10",2021,"break_sustained",594
"necr","water_core",2,"0-10",2022,"break_sustained",4540
"necr","water_core",2,"0-10",2023,"break_endpoint",5768
"necr","water_core",3,"10-30",2018,"break_endpoint",3155
"necr","water_core",3,"10-30",2019,"break_sustained",627
"necr","water_core",3,"10-30",2020,"break_sustained",433
"necr","water_core",3,"10-30",2021,"break_sustained",624
"necr","water_core",3,"10-30",2022,"break_sustained",1427
"necr","water_core",3,"10-30",2023,"break_endpoint",2994
"necr","water_core",4,"30-50",2018,"break_endpoint",1491
"necr","water_core",4,"30-50",2019,"break_sustained",637
"necr","water_core",4,"30-50",2020,"break_sustained",420
"necr","water_core",4,"30-50",2021,"break_sustained",343
"necr","water_core",4,"30-50",2022,"break_sustained",486
"necr","water_core",4,"30-50",2023,"break_endpoint",1213
"necr","water_core",5,"50-100",2018,"break_endpoint",2166
"necr","water_core",5,"50-100",2019,"break_sustained",1152
"necr","water_core",5,"50-100",2020,"break_sustained",804
"necr","water_core",5,"50-100",2021,"break_sustained",787
"necr","water_core",5,"50-100",2022,"break_sustained",1372
"necr","water_core",5,"50-100",2023,"break_endpoint",2173
"necr","water_core",6,"100-200",2018,"break_endpoint",3183
"necr","water_core",6,"100-200",2019,"break_sustained",2173
"necr","water_core",6,"100-200",2020,"break_sustained",2213
"necr","water_core",6,"100-200",2021,"break_sustained",1752
"necr","water_core",6,"100-200",2022,"break_sustained",2289
"necr","water_core",6,"100-200",2023,"break_endpoint",2992
"necr","water_core",7,"200-500",2018,"break_endpoint",5920
"necr","water_core",7,"200-500",2019,"break_sustained",5401
"necr","water_core",7,"200-500",2020,"break_sustained",4346
"necr","water_core",7,"200-500",2021,"break_sustained",2513
"necr","water_core",7,"200-500",2022,"break_sustained",4898
"necr","water_core",7,"200-500",2023,"break_endpoint",6203
"necr","water_core",8,">500",2018,"break_endpoint",73168
"necr","water_core",8,">500",2019,"break_sustained",56969
"necr","water_core",8,">500",2020,"break_sustained",24315
"necr","water_core",8,">500",2021,"break_sustained",19500
"necr","water_core",8,">500",2022,"break_sustained",37991
"necr","water_core",8,">500",2023,"break_endpoint",54321
